Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Deoria,Bhatpar Rani,274001,F,22,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Gonda,Mankapur,271313,M,77,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,21,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251314,F,2,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251315,M,14,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251315,M,20,0,1,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251315,M,23,0,1,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784116,M,23,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,30,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784125,M,48,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Darrang,Mangaldoi,784190,M,19,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh West,786003,M,47,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,F,31,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,F,28,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,F,45,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,M,27,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Jorhat,Jorhat East,785001,F,18,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781007,F,57,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781036,M,27,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781036,M,29,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781020,F,27,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781025,F,52,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781171,F,38,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Sonapur,781027,F,23,1,0,0,1
